frame	center_x	center_y	width	height
frame_0000.png	294.670	231.708	207.360	21.850
frame_0001.png	289.204	231.727	207.595	21.850
frame_0002.png	284.863	231.881	208.298	21.850
frame_0003.png	280.722	232.154	209.461	21.850
frame_0004.png	278.539	232.524	211.073	21.850
frame_0005.png	278.572	232.960	213.120	21.850
frame_0006.png	279.221	233.426	215.581	21.850
frame_0007.png	280.205	233.897	218.435	21.850
frame_0008.png	281.181	234.354	221.658	21.850
frame_0009.png	282.603	234.785	225.224	21.850
frame_0010.png	283.557	235.188	229.105	21.850
frame_0011.png	285.362	235.558	233.273	21.850
frame_0012.png	286.844	235.888	237.700	21.850
frame_0013.png	288.185	236.173	242.358	21.850
frame_0014.png	289.608	236.409	247.219	21.850
frame_0015.png	291.119	236.595	252.255	21.850
frame_0016.png	292.721	236.732	257.441	21.850
frame_0017.png	294.389	236.822	262.752	21.850
frame_0018.png	295.903	236.863	268.162	21.850
frame_0019.png	296.835	236.858	273.649	21.850
frame_0020.png	298.388	236.809	279.192	21.850
frame_0021.png	299.396	236.721	284.769	21.850
frame_0022.png	300.165	236.596	290.361	21.850
frame_0023.png	301.023	236.434	295.948	21.850
frame_0024.png	302.257	236.233	301.515	21.850
frame_0025.png	303.490	235.990	307.044	21.850
frame_0026.png	304.242	235.700	312.519	21.850
frame_0027.png	304.971	235.363	317.926	21.850
frame_0028.png	305.634	234.977	323.251	21.850
frame_0029.png	306.227	234.543	328.482	21.850
frame_0030.png	307.215	234.058	333.606	21.850
frame_0031.png	307.702	233.521	338.611	21.850
frame_0032.png	308.267	232.938	343.486	21.850
frame_0033.png	308.873	232.316	348.223	21.850
frame_0034.png	309.603	231.662	352.810	21.850
frame_0035.png	309.623	230.979	357.240	21.850
frame_0036.png	310.262	230.268	361.503	21.850
frame_0037.png	310.814	229.526	365.592	21.850
frame_0038.png	311.231	228.754	369.500	21.850
frame_0039.png	311.377	227.949	373.219	21.850
frame_0040.png	310.627	227.112	376.744	21.850
frame_0041.png	311.049	226.244	380.068	21.850
frame_0042.png	311.418	225.343	383.185	21.850
frame_0043.png	311.957	224.406	386.092	21.850
frame_0044.png	311.623	223.431	388.783	21.850
frame_0045.png	311.361	222.421	391.254	21.850
frame_0046.png	311.264	221.383	393.501	21.850
frame_0047.png	310.781	220.322	395.520	21.850
frame_0048.png	310.325	219.235	397.309	21.850
frame_0049.png	309.431	218.134	398.865	21.850
frame_0050.png	307.908	217.049	400.186	21.850
frame_0051.png	305.375	216.033	401.269	21.850
frame_0052.png	301.925	215.147	402.113	21.850
frame_0053.png	297.368	214.453	402.716	21.850
frame_0054.png	291.472	214.001	403.079	21.850
frame_0055.png	284.385	213.820	403.200	21.850
frame_0056.png	279.474	213.919	403.079	21.850
frame_0057.png	275.376	214.281	402.716	21.850
frame_0058.png	271.059	214.870	402.113	21.850
frame_0059.png	268.650	215.639	401.269	21.850
frame_0060.png	267.107	216.532	400.186	21.850
frame_0061.png	265.587	217.490	398.865	21.850
frame_0062.png	265.349	218.466	397.309	21.850
frame_0063.png	264.755	219.428	395.520	21.850
frame_0064.png	264.229	220.372	393.501	21.850
frame_0065.png	263.631	221.303	391.254	21.850
frame_0066.png	263.375	222.230	388.783	21.850
frame_0067.png	263.047	223.152	386.092	21.850
frame_0068.png	261.574	224.063	383.185	21.850
frame_0069.png	261.967	224.954	380.068	21.850
frame_0070.png	260.649	225.823	376.744	21.850
frame_0071.png	260.599	226.666	373.219	21.850
frame_0072.png	260.266	227.478	369.500	21.850
frame_0073.png	260.216	228.254	365.592	21.850
frame_0074.png	259.256	228.991	361.503	21.850
frame_0075.png	257.628	229.687	357.240	21.850
frame_0076.png	257.591	230.342	352.810	21.850
frame_0077.png	256.884	230.957	348.223	21.850
frame_0078.png	255.738	231.533	343.486	21.850
frame_0079.png	254.688	232.064	338.611	21.850
frame_0080.png	254.203	232.549	333.606	21.850
frame_0081.png	253.259	232.989	328.482	21.850
frame_0082.png	253.358	233.383	323.251	21.850
frame_0083.png	251.954	233.732	317.926	21.850
frame_0084.png	251.725	234.041	312.519	21.850
frame_0085.png	252.504	234.310	307.044	21.850
frame_0086.png	251.765	234.539	301.515	21.850
frame_0087.png	251.983	234.726	295.948	21.850
frame_0088.png	251.813	234.875	290.361	21.850
frame_0089.png	252.610	234.984	284.769	21.850
frame_0090.png	252.583	235.048	279.192	21.850
frame_0091.png	253.831	235.066	273.649	21.850
frame_0092.png	254.925	235.039	268.162	21.850
frame_0093.png	255.623	234.965	262.752	21.850
frame_0094.png	256.277	234.850	257.441	21.850
frame_0095.png	258.128	234.711	252.255	21.850
frame_0096.png	260.376	234.563	247.219	21.850
frame_0097.png	262.822	234.416	242.358	21.850
frame_0098.png	265.145	234.273	237.700	21.850
frame_0099.png	267.648	234.137	233.273	21.850
frame_0100.png	270.455	234.011	229.105	21.850
frame_0101.png	272.599	233.891	225.224	21.850
frame_0102.png	276.168	233.767	221.658	21.850
frame_0103.png	279.207	233.632	218.435	21.850
frame_0104.png	282.202	233.477	215.581	21.850
frame_0105.png	285.440	233.309	213.120	21.850
frame_0106.png	287.468	233.144	211.073	21.850
frame_0107.png	288.258	232.998	209.461	21.850
frame_0108.png	288.842	232.889	208.298	21.850
frame_0109.png	288.207	232.837	207.595	21.850
frame_0110.png	287.672	232.857	207.360	21.850
frame_0111.png	286.796	232.943	207.595	21.850
frame_0112.png	285.156	233.084	208.298	21.850
frame_0113.png	285.263	233.262	209.461	21.850
frame_0114.png	286.454	233.460	211.073	21.850
frame_0115.png	287.563	233.662	213.120	21.850
frame_0116.png	289.781	233.856	215.581	21.850
frame_0117.png	292.211	234.034	218.435	21.850
frame_0118.png	295.182	234.198	221.658	21.850
frame_0119.png	298.623	234.354	225.224	21.850
frame_0120.png	301.545	234.516	229.105	21.850
frame_0121.png	305.372	234.690	233.273	21.850
frame_0122.png	308.153	234.879	237.700	21.850
frame_0123.png	309.826	235.081	242.358	21.850
frame_0124.png	312.379	235.289	247.219	21.850
frame_0125.png	314.117	235.491	252.255	21.850
frame_0126.png	316.283	235.675	257.441	21.850
frame_0127.png	317.637	235.828	262.752	21.850
frame_0128.png	318.907	235.936	268.162	21.850
frame_0129.png	319.828	235.993	273.649	21.850
frame_0130.png	320.603	236.001	279.192	21.850
frame_0131.png	321.622	235.960	284.769	21.850
frame_0132.png	322.826	235.867	290.361	21.850
frame_0133.png	322.976	235.725	295.948	21.850
frame_0134.png	322.751	235.539	301.515	21.850
frame_0135.png	322.488	235.312	307.044	21.850
frame_0136.png	323.250	235.044	312.519	21.850
frame_0137.png	323.972	234.737	317.926	21.850
frame_0138.png	322.642	234.389	323.251	21.850
frame_0139.png	322.741	234.001	328.482	21.850
frame_0140.png	322.188	233.575	333.606	21.850
frame_0141.png	320.677	233.110	338.611	21.850
frame_0142.png	321.269	232.604	343.486	21.850
frame_0143.png	320.095	232.057	348.223	21.850
frame_0144.png	319.401	231.480	352.810	21.850
frame_0145.png	319.377	230.876	357.240	21.850
frame_0146.png	317.252	230.246	361.503	21.850
frame_0147.png	317.197	229.587	365.592	21.850
frame_0148.png	317.250	228.900	369.500	21.850
frame_0149.png	315.401	228.184	373.219	21.850
frame_0150.png	314.644	227.436	376.744	21.850
frame_0151.png	314.968	226.657	380.068	21.850
frame_0152.png	314.606	225.847	383.185	21.850
frame_0153.png	313.948	225.001	386.092	21.850
frame_0154.png	312.625	224.115	388.783	21.850
frame_0155.png	312.644	223.189	391.254	21.850
frame_0156.png	312.233	222.222	393.501	21.850
frame_0157.png	311.754	221.220	395.520	21.850
frame_0158.png	311.350	220.195	397.309	21.850
frame_0159.png	310.553	219.166	398.865	21.850
frame_0160.png	309.080	218.166	400.186	21.850
frame_0161.png	307.632	217.243	401.269	21.850
frame_0162.png	305.035	216.450	402.113	21.850
frame_0163.png	302.370	215.843	402.716	21.850
frame_0164.png	297.471	215.472	403.079	21.850
frame_0165.png	291.378	215.368	403.200	21.850
frame_0166.png	284.528	215.541	403.079	21.850
frame_0167.png	278.632	215.977	402.716	21.850
frame_0168.png	274.075	216.637	402.113	21.850
frame_0169.png	270.625	217.472	401.269	21.850
frame_0170.png	268.092	218.430	400.186	21.850
frame_0171.png	267.410	219.455	398.865	21.850
frame_0172.png	266.326	220.502	397.309	21.850
frame_0173.png	265.775	221.538	395.520	21.850
frame_0174.png	265.243	222.552	393.501	21.850
frame_0175.png	265.373	223.543	391.254	21.850
frame_0176.png	265.379	224.515	388.783	21.850
frame_0177.png	265.038	225.469	386.092	21.850
frame_0178.png	265.615	226.405	383.185	21.850
frame_0179.png	265.975	227.323	380.068	21.850
frame_0180.png	266.389	228.213	376.744	21.850
frame_0181.png	266.372	229.069	373.219	21.850
frame_0182.png	266.241	229.886	369.500	21.850
frame_0183.png	266.814	230.663	365.592	21.850
frame_0184.png	267.263	231.398	361.503	21.850
frame_0185.png	267.633	232.095	357.240	21.850
frame_0186.png	267.596	232.752	352.810	21.850
frame_0187.png	268.106	233.368	348.223	21.850
frame_0188.png	268.739	233.947	343.486	21.850
frame_0189.png	269.290	234.485	338.611	21.850
frame_0190.png	269.802	234.984	333.606	21.850
frame_0191.png	270.774	235.444	328.482	21.850
frame_0192.png	270.632	235.864	323.251	21.850
frame_0193.png	271.961	236.244	317.926	21.850
frame_0194.png	272.270	236.585	312.519	21.850
frame_0195.png	272.510	236.885	307.044	21.850
frame_0196.png	274.237	237.145	301.515	21.850
frame_0197.png	275.012	237.365	295.948	21.850
frame_0198.png	275.835	237.545	290.361	21.850
frame_0199.png	276.604	237.682	284.769	21.850
frame_0200.png	277.612	237.768	279.192	21.850
frame_0201.png	279.165	237.801	273.649	21.850
frame_0202.png	280.914	237.780	268.162	21.850
frame_0203.png	282.381	237.706	262.752	21.850
frame_0204.png	283.731	237.575	257.441	21.850
frame_0205.png	285.886	237.391	252.255	21.850
frame_0206.png	287.609	237.155	247.219	21.850
frame_0207.png	289.179	236.867	242.358	21.850
frame_0208.png	291.162	236.533	237.700	21.850
frame_0209.png	293.372	236.157	233.273	21.850
frame_0210.png	294.564	235.748	229.105	21.850
frame_0211.png	296.617	235.311	225.224	21.850
frame_0212.png	298.819	234.849	221.658	21.850
frame_0213.png	300.223	234.366	218.435	21.850
frame_0214.png	302.211	233.862	215.581	21.850
frame_0215.png	303.447	233.353	213.120	21.850
frame_0216.png	304.461	232.865	211.073	21.850
frame_0217.png	304.262	232.428	209.461	21.850
frame_0218.png	302.853	232.073	208.298	21.850
frame_0219.png	299.203	231.826	207.595	21.850
