frame	center_x	center_y	width	height
frame_0000.png	293.410	246.815	153.287	30.000
frame_0001.png	297.670	246.876	154.040	30.000
frame_0002.png	301.636	247.176	156.147	30.000
frame_0003.png	305.121	247.638	159.324	30.000
frame_0004.png	308.101	248.181	163.233	30.000
frame_0005.png	310.689	248.731	167.611	30.000
frame_0006.png	312.995	249.250	172.280	30.000
frame_0007.png	315.016	249.750	177.163	30.000
frame_0008.png	316.688	250.250	182.278	30.000
frame_0009.png	317.991	250.731	187.632	30.000
frame_0010.png	318.974	251.181	193.162	30.000
frame_0011.png	319.718	251.600	198.751	30.000
frame_0012.png	320.302	251.981	204.279	30.000
frame_0013.png	320.762	252.312	209.684	30.000
frame_0014.png	321.093	252.581	214.962	30.000
frame_0015.png	321.283	252.781	220.135	30.000
frame_0016.png	321.318	252.912	225.221	30.000
frame_0017.png	321.193	252.981	230.216	30.000
frame_0018.png	320.918	253.000	235.095	30.000
frame_0019.png	320.502	253.000	239.833	30.000
frame_0020.png	319.971	252.981	244.415	30.000
frame_0021.png	319.356	252.912	248.841	30.000
frame_0022.png	318.681	252.781	253.104	30.000
frame_0023.png	317.956	252.600	257.193	30.000
frame_0024.png	317.181	252.381	261.108	30.000
frame_0025.png	316.337	252.131	264.849	30.000
frame_0026.png	315.402	251.850	268.404	30.000
frame_0027.png	314.381	251.531	271.780	30.000
frame_0028.png	313.290	251.162	274.981	30.248
frame_0029.png	312.156	250.712	277.992	30.579
frame_0030.png	310.990	250.181	280.794	30.887
frame_0031.png	309.800	249.600	283.380	31.172
frame_0032.png	308.590	248.981	285.769	31.435
frame_0033.png	307.346	248.312	287.979	31.678
frame_0034.png	306.037	247.600	290.021	31.902
frame_0035.png	304.656	246.869	291.899	32.109
frame_0036.png	303.215	246.131	293.628	32.299
frame_0037.png	301.721	245.381	295.200	32.472
frame_0038.png	300.200	244.600	296.604	32.626
frame_0039.png	298.688	243.781	297.844	32.763
frame_0040.png	297.210	242.912	298.935	32.883
frame_0041.png	295.775	241.981	299.903	32.989
frame_0042.png	294.379	241.000	300.777	33.085
frame_0043.png	293.029	240.000	301.589	33.175
frame_0044.png	291.754	239.000	302.372	33.261
frame_0045.png	290.573	237.981	303.148	33.346
frame_0046.png	289.498	236.912	303.931	33.432
frame_0047.png	288.538	235.781	304.732	33.521
frame_0048.png	287.698	234.600	305.555	33.611
frame_0049.png	286.982	233.400	306.385	33.702
frame_0050.png	286.407	232.200	307.204	33.792
frame_0051.png	285.973	231.000	307.998	33.880
frame_0052.png	285.673	229.838	308.752	33.963
frame_0053.png	285.488	228.815	309.466	34.041
frame_0054.png	285.375	228.072	310.133	34.115
frame_0055.png	285.290	227.760	310.731	34.180
frame_0056.png	285.210	227.960	311.231	34.235
frame_0057.png	285.135	228.634	311.608	34.277
frame_0058.png	285.056	229.638	311.851	34.304
frame_0059.png	284.946	230.781	311.978	34.318
frame_0060.png	284.781	231.912	312.018	34.322
frame_0061.png	284.546	232.981	311.978	34.318
frame_0062.png	284.227	234.000	311.840	34.302
frame_0063.png	283.812	235.000	311.568	34.272
frame_0064.png	283.306	236.000	311.133	34.225
frame_0065.png	282.712	237.000	310.524	34.158
frame_0066.png	282.027	238.000	309.752	34.073
frame_0067.png	281.246	239.000	308.846	33.973
frame_0068.png	280.381	240.000	307.842	33.863
frame_0069.png	279.465	241.000	306.758	33.743
frame_0070.png	278.525	241.981	305.587	33.615
frame_0071.png	277.565	242.912	304.300	33.473
frame_0072.png	276.590	243.781	302.856	33.314
frame_0073.png	275.610	244.600	301.232	33.136
frame_0074.png	274.625	245.381	299.417	32.936
frame_0075.png	273.640	246.131	297.404	32.714
frame_0076.png	272.669	246.850	295.212	32.473
frame_0077.png	271.719	247.531	292.856	32.214
frame_0078.png	270.800	248.162	290.340	31.937
frame_0079.png	269.910	248.731	287.660	31.643
frame_0080.png	269.044	249.250	284.801	31.328
frame_0081.png	268.210	249.731	281.744	30.992
frame_0082.png	267.400	250.162	278.508	30.636
frame_0083.png	266.600	250.531	275.108	30.262
frame_0084.png	265.810	250.850	271.559	30.000
frame_0085.png	265.035	251.131	267.876	30.000
frame_0086.png	264.285	251.381	264.048	30.000
frame_0087.png	263.598	251.600	260.052	30.000
frame_0088.png	262.998	251.781	255.876	30.000
frame_0089.png	262.475	251.912	251.509	30.000
frame_0090.png	262.010	251.981	246.944	30.000
frame_0091.png	261.588	252.000	242.200	30.000
frame_0092.png	261.219	251.981	237.292	30.000
frame_0093.png	260.919	251.912	232.224	30.000
frame_0094.png	260.707	251.781	226.981	30.000
frame_0095.png	260.607	251.600	221.552	30.000
frame_0096.png	260.638	251.381	215.948	30.000
frame_0097.png	260.798	251.150	210.195	30.000
frame_0098.png	261.073	250.957	204.308	30.000
frame_0099.png	261.463	250.838	198.309	30.000
frame_0100.png	261.963	250.781	192.241	30.000
frame_0101.png	262.573	250.731	186.184	30.000
frame_0102.png	263.365	250.650	180.303	30.000
frame_0103.png	264.485	250.531	174.839	30.000
frame_0104.png	266.079	250.362	170.018	30.000
frame_0105.png	268.235	250.131	165.965	30.000
frame_0106.png	270.941	249.869	162.644	30.000
frame_0107.png	274.070	249.619	159.960	30.000
frame_0108.png	277.450	249.419	157.910	30.000
frame_0109.png	280.925	249.307	156.577	30.000
frame_0110.png	284.410	249.307	156.096	30.000
frame_0111.png	287.900	249.438	156.526	30.000
frame_0112.png	291.390	249.688	157.805	30.000
frame_0113.png	294.789	250.000	159.820	30.000
frame_0114.png	297.944	250.312	162.510	30.000
frame_0115.png	300.699	250.581	165.889	30.000
frame_0116.png	302.949	250.781	170.029	30.000
frame_0117.png	304.674	250.912	174.944	30.000
frame_0118.png	305.932	251.000	180.495	30.000
frame_0119.png	306.833	251.088	186.423	30.000
frame_0120.png	307.502	251.219	192.447	30.000
frame_0121.png	308.018	251.400	198.403	30.000
frame_0122.png	308.402	251.619	204.265	30.000
frame_0123.png	308.671	251.869	210.043	30.000
frame_0124.png	308.846	252.131	215.734	30.000
frame_0125.png	308.946	252.381	221.324	30.000
frame_0126.png	308.971	252.600	226.783	30.000
frame_0127.png	308.912	252.781	232.085	30.000
frame_0128.png	308.771	252.912	237.200	30.000
frame_0129.png	308.556	252.981	242.113	30.000
frame_0130.png	308.271	252.981	246.828	30.000
frame_0131.png	307.921	252.912	251.352	30.000
frame_0132.png	307.515	252.781	255.696	30.000
frame_0133.png	307.056	252.600	259.883	30.000
frame_0134.png	306.537	252.381	263.921	30.000
frame_0135.png	305.956	252.131	267.807	30.000
frame_0136.png	305.335	251.850	271.552	30.000
frame_0137.png	304.700	251.531	275.144	30.266
frame_0138.png	304.065	251.162	278.561	30.642
frame_0139.png	303.435	250.731	281.796	30.998
frame_0140.png	302.800	250.250	284.852	31.334
frame_0141.png	302.156	249.731	287.736	31.651
frame_0142.png	301.490	249.181	290.444	31.949
frame_0143.png	300.800	248.600	292.972	32.227
frame_0144.png	300.090	247.981	295.316	32.485
frame_0145.png	299.365	247.312	297.469	32.722
frame_0146.png	298.625	246.600	299.417	32.936
frame_0147.png	297.875	245.869	301.179	33.130
frame_0148.png	297.125	245.131	302.803	33.308
frame_0149.png	296.375	244.381	304.311	33.474
frame_0150.png	295.635	243.600	305.692	33.626
frame_0151.png	294.919	242.781	306.928	33.762
frame_0152.png	294.254	241.912	308.012	33.881
frame_0153.png	293.663	240.981	308.951	33.985
frame_0154.png	293.163	240.000	309.763	34.074
frame_0155.png	292.763	239.000	310.459	34.150
frame_0156.png	292.454	237.981	311.050	34.215
frame_0157.png	292.219	236.912	311.532	34.268
frame_0158.png	292.054	235.781	311.875	34.306
frame_0159.png	291.954	234.600	312.072	34.328
frame_0160.png	291.919	233.400	312.134	34.335
frame_0161.png	291.963	232.219	312.083	34.329
frame_0162.png	292.079	231.126	311.927	34.312
frame_0163.png	292.240	230.234	311.659	34.282
frame_0164.png	292.425	229.653	311.271	34.240
frame_0165.png	292.610	229.453	310.767	34.184
frame_0166.png	292.781	229.672	310.162	34.118
frame_0167.png	292.921	230.303	309.477	34.042
frame_0168.png	293.006	231.257	308.741	33.961
frame_0169.png	293.012	232.400	307.980	33.878
