frame	center_x	floor_y	width
frame_0000.png	0.509452	0.925505	0.329205
frame_0001.png	0.515625	0.925505	0.330285
frame_0002.png	0.521798	0.925926	0.333526
frame_0003.png	0.528067	0.927189	0.338792
frame_0004.png	0.533951	0.928451	0.345949
frame_0005.png	0.538773	0.930556	0.354321
frame_0006.png	0.542631	0.932660	0.364043
frame_0007.png	0.545718	0.934764	0.374576
frame_0008.png	0.548611	0.936448	0.385378
frame_0009.png	0.551022	0.938131	0.396316
frame_0010.png	0.553144	0.939815	0.407388
frame_0011.png	0.554688	0.941498	0.418461
frame_0012.png	0.555748	0.942761	0.429938
frame_0013.png	0.556520	0.944024	0.441281
frame_0014.png	0.557002	0.944865	0.452488
frame_0015.png	0.557292	0.945707	0.463426
frame_0016.png	0.557388	0.946128	0.474093
frame_0017.png	0.557195	0.946549	0.484356
frame_0018.png	0.556713	0.946970	0.494483
frame_0019.png	0.556038	0.946970	0.504340
frame_0020.png	0.555266	0.946549	0.514062
frame_0021.png	0.554302	0.946128	0.523245
frame_0022.png	0.553144	0.945707	0.532157
frame_0023.png	0.551890	0.945286	0.540664
frame_0024.png	0.550444	0.944444	0.548900
frame_0025.png	0.548900	0.943603	0.556732
frame_0026.png	0.547261	0.942340	0.564159
frame_0027.png	0.545621	0.941077	0.571316
frame_0028.png	0.543789	0.939394	0.577932
frame_0029.png	0.541860	0.937710	0.584144
frame_0030.png	0.539834	0.936027	0.589950
frame_0031.png	0.537809	0.933923	0.595486
frame_0032.png	0.535687	0.931397	0.600617
frame_0033.png	0.533372	0.928872	0.605208
frame_0034.png	0.531057	0.926347	0.609529
frame_0035.png	0.528742	0.923822	0.613580
frame_0036.png	0.526235	0.920875	0.617091
frame_0037.png	0.523727	0.917929	0.620332
frame_0038.png	0.521219	0.914983	0.623302
frame_0039.png	0.518711	0.911616	0.626003
frame_0040.png	0.516107	0.908249	0.628299
frame_0041.png	0.513600	0.904882	0.630459
frame_0042.png	0.511188	0.901515	0.632485
frame_0043.png	0.508970	0.897727	0.634240
frame_0044.png	0.506752	0.893939	0.635995
frame_0045.png	0.504823	0.889731	0.637616
frame_0046.png	0.502990	0.885522	0.639371
frame_0047.png	0.501254	0.881313	0.640992
frame_0048.png	0.499807	0.877104	0.642747
frame_0049.png	0.498650	0.872896	0.644367
frame_0050.png	0.497685	0.868266	0.645988
frame_0051.png	0.496914	0.863636	0.647608
frame_0052.png	0.496335	0.859848	0.649228
frame_0053.png	0.495853	0.856902	0.650714
frame_0054.png	0.495467	0.855640	0.652064
frame_0055.png	0.495274	0.855219	0.653144
frame_0056.png	0.495177	0.855640	0.654090
frame_0057.png	0.495081	0.856902	0.654765
frame_0058.png	0.494792	0.859007	0.655440
frame_0059.png	0.494502	0.862374	0.655845
frame_0060.png	0.494213	0.866582	0.655980
frame_0061.png	0.493731	0.870791	0.655845
frame_0062.png	0.493152	0.875000	0.655305
frame_0063.png	0.492477	0.878788	0.654630
frame_0064.png	0.491609	0.882576	0.653684
frame_0065.png	0.490548	0.886364	0.652469
frame_0066.png	0.489294	0.890152	0.650984
frame_0067.png	0.488040	0.893939	0.649228
frame_0068.png	0.486593	0.897727	0.647203
frame_0069.png	0.485147	0.901515	0.644907
frame_0070.png	0.483507	0.904882	0.642342
frame_0071.png	0.481867	0.908249	0.639506
frame_0072.png	0.480131	0.911616	0.636265
frame_0073.png	0.478492	0.914983	0.632890
frame_0074.png	0.476755	0.917929	0.629109
frame_0075.png	0.475116	0.920875	0.624923
frame_0076.png	0.473476	0.923401	0.620467
frame_0077.png	0.471836	0.925926	0.615471
frame_0078.png	0.470197	0.928030	0.610204
frame_0079.png	0.468654	0.930556	0.604533
frame_0080.png	0.467207	0.932660	0.598457
frame_0081.png	0.465760	0.934343	0.592110
frame_0082.png	0.464217	0.935606	0.585359
frame_0083.png	0.462867	0.937290	0.578337
frame_0084.png	0.461516	0.938552	0.571046
frame_0085.png	0.460166	0.939815	0.563214
frame_0086.png	0.459008	0.940657	0.555112
frame_0087.png	0.457948	0.941498	0.546605
frame_0088.png	0.456887	0.941919	0.537828
frame_0089.png	0.455826	0.942340	0.528781
frame_0090.png	0.454958	0.942761	0.519194
frame_0091.png	0.454282	0.943182	0.509336
frame_0092.png	0.453704	0.942761	0.499074
frame_0093.png	0.453221	0.942340	0.488407
frame_0094.png	0.453029	0.941919	0.477334
frame_0095.png	0.452836	0.941498	0.465992
frame_0096.png	0.452836	0.940657	0.454379
frame_0097.png	0.453125	0.940236	0.442361
frame_0098.png	0.453607	0.939815	0.430073
frame_0099.png	0.454282	0.939394	0.417785
frame_0100.png	0.455054	0.938552	0.405093
frame_0101.png	0.456211	0.938131	0.392940
frame_0102.png	0.458140	0.937710	0.381597
frame_0103.png	0.460648	0.937290	0.371335
frame_0104.png	0.463831	0.936448	0.361748
frame_0105.png	0.467496	0.936027	0.353106
frame_0106.png	0.471740	0.935185	0.345274
frame_0107.png	0.476466	0.934343	0.339468
frame_0108.png	0.481771	0.933923	0.335552
frame_0109.png	0.487654	0.933923	0.333796
frame_0110.png	0.493827	0.933923	0.333256
frame_0111.png	0.499904	0.934343	0.333661
frame_0112.png	0.505787	0.934764	0.335417
frame_0113.png	0.511092	0.935606	0.339333
frame_0114.png	0.516011	0.936448	0.345139
frame_0115.png	0.520351	0.937290	0.353106
frame_0116.png	0.524306	0.938131	0.361883
frame_0117.png	0.527488	0.938552	0.371470
frame_0118.png	0.530093	0.939394	0.381867
frame_0119.png	0.532118	0.940236	0.393075
frame_0120.png	0.533468	0.940657	0.405228
frame_0121.png	0.534336	0.941077	0.417785
frame_0122.png	0.535108	0.941919	0.430208
frame_0123.png	0.535590	0.942761	0.442226
frame_0124.png	0.535976	0.943603	0.454109
frame_0125.png	0.536169	0.944444	0.465721
frame_0126.png	0.536169	0.945286	0.477064
frame_0127.png	0.536073	0.945707	0.488002
frame_0128.png	0.535783	0.946128	0.498669
frame_0129.png	0.535494	0.946549	0.509066
frame_0130.png	0.535012	0.946549	0.518924
frame_0131.png	0.534433	0.946128	0.528376
frame_0132.png	0.533758	0.945707	0.537693
frame_0133.png	0.532890	0.945286	0.546470
frame_0134.png	0.531925	0.944444	0.554842
frame_0135.png	0.531057	0.943603	0.563079
frame_0136.png	0.530093	0.942340	0.570910
frame_0137.png	0.529032	0.941077	0.578337
frame_0138.png	0.527874	0.939394	0.585359
frame_0139.png	0.526813	0.938131	0.592245
frame_0140.png	0.525656	0.936448	0.598727
frame_0141.png	0.524498	0.934343	0.604668
frame_0142.png	0.523341	0.932239	0.610340
frame_0143.png	0.522184	0.930135	0.615741
frame_0144.png	0.520930	0.927609	0.620467
frame_0145.png	0.519676	0.925084	0.624923
frame_0146.png	0.518422	0.922559	0.629109
